surface,bucket_key,total_variants,filled_variants,unique_opener60,unique_closer60,top_prefix60_ratio,opener_pass,closer_pass,prefix_pass,overall_pass
scriptedText.interrogation,"a|d-1|S0|fact_pursuit",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S0|motive_search",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S0|empathy_approach",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S1|fact_pursuit",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S1|motive_search",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S1|empathy_approach",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S2|fact_pursuit",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S2|motive_search",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S2|empathy_approach",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S3|fact_pursuit",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S3|motive_search",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S3|empathy_approach",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S4|fact_pursuit",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S4|motive_search",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S4|empathy_approach",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S5|fact_pursuit",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S5|motive_search",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"a|d-1|S5|empathy_approach",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"b|d-1|S0|fact_pursuit",10,10,3,10,0.4,true,true,true,true
scriptedText.interrogation,"b|d-1|S0|motive_search",10,10,3,10,0.4,true,true,true,true
